source_doi,catalyst_composition,metal_elements,primary_metal,is_noble_metal,is_hybrid,carbon_present,support_substrate,electrolyte_type,electrolyte_composition,pH,temperature_C,ir_compensation,potential_vs_RHE,overpotential_eta10_mV,tafel_slope_mV_dec,stability_value,notes
10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDkx, equation: H2O(g) - 0.5H2(g) + * -> OH*"
10.1021/acscatal.3c01249,Ti18N12,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ2OTk0, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Ti18N12,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA0, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA2, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA4, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA5, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDky, equation: H2O(g) - 0.5H2(g) + * -> OH*"
10.1038/s41597-019-0080-z,Pd12,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5MjIz, equation: H2O(g) + * -> H2O*"
10.1038/s41597-019-0080-z,Sn12,['Sn'],Sn,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5NzQy, equation: H2O(g) + * -> H2O*"
10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDkz, equation: H2O(g) - 0.5H2(g) + * -> OH*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDEx, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDEy, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDEz, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDE1, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDE5, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDIx, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDIy, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDI1, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDI3, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1038/s41597-019-0080-z,Pd12,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5MjI0, equation: H2O(g) + * -> H2O*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDI5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDMw, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk0, equation: H2O(g) - 0.5H2(g) + * -> OH*"
10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk1, equation: H2O(g) - 0.5H2(g) + * -> OH*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDMy, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDMz, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDM0, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDM4, equation: H2O(g) - 0.5H2(g) + * -> HO*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDM5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*"
10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDQz, equation: H2O(g) - 0.5H2(g) + * -> HO*"
