record_id,source_doi,catalyst_composition,metal_elements,primary_metal,is_noble_metal,is_hybrid,carbon_present,support_substrate,electrolyte_type,electrolyte_composition,pH,temperature_C,ir_compensation,potential_vs_RHE,overpotential_eta10_mV,tafel_slope_mV_dec,stability_value,notes,extraction_source
10.1021/cs3003098_Ru bulk metal,10.1021/cs3003098,Ru bulk metal,['Ru'],Ru,True,False,False,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.449,,44.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Ru nanoparticles on Vulcan XC 72R,10.1021/cs3003098,Ru nanoparticles on Vulcan XC 72R,['Ru'],Ru,True,False,True,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.504,,,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Ir bulk metal,10.1021/cs3003098,Ir bulk metal,['Ir'],Ir,True,False,False,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.551,,63.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Ir nanoparticles on Vulcan XC 72R,10.1021/cs3003098,Ir nanoparticles on Vulcan XC 72R,['Ir'],Ir,True,False,True,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.563,,64.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Pt bulk metal,10.1021/cs3003098,Pt bulk metal,['Pt'],Pt,True,False,False,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.766,,145.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Pt nanoparticles on Vulcan XC 72R,10.1021/cs3003098,Pt nanoparticles on Vulcan XC 72R,['Pt'],Pt,True,False,True,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.87,,210.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/ja510442p_Ru-(a),10.1021/ja510442p,Ru-(a),['Ru'],Ru,True,False,False,glassy carbon,acidic,1 M H2SO4,0.3,25.0,85%,True,280.0,,60.0,η at 24h = 820 mV; RF = 71.0,pdf
10.1021/ja510442p_Ir,10.1021/ja510442p,Ir,['Ir'],Ir,True,False,False,glassy carbon,acidic,1 M H2SO4,0.3,25.0,85%,True,340.0,,19.99999999999996,η at 24h = 440 mV; RF = 160.0,pdf
10.1021/ja510442p_Co-(b),10.1021/ja510442p,Co-(b),['Co'],Co,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,410.0,,-9.999999999999954,η at 24h = 810 mV; RF = 11.0,pdf
10.1021/ja510442p_CoFe,10.1021/ja510442p,CoFe,"['Fe', 'Co']",Fe,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,350.0,,10.000000000000009,η at 24h = 360 mV; RF = 10.0,pdf
